CODE;FR
45312300-0;Travaux d'installation d'antennes
45312310-3;Installations de paratonnerre
45312311-0;Travaux d'installation de paratonnerre
45312320-6;Travaux d'installation d'antennes de télévision
45312330-9;Travaux d'installation d'antennes radio
45313000-4;Travaux d'installation d'ascenseurs et d'escaliers mécaniques
45313100-5;Travaux d'installation d'ascenseurs
45313200-6;Travaux d'installation d'escaliers mécaniques
45313210-9;Travaux d'installation de trottoirs roulants
45314000-1;Installation de matériel de télécommunications
45314100-2;Installation de centraux téléphoniques
45314120-8;Installation de standards téléphoniques
45314200-3;Installation de lignes téléphoniques
45314300-4;Installation d'infrastructures de câblage
45314310-7;Installation de câblage
45314320-0;Installation de câblage informatique
45315000-8;Travaux d'installation de chauffage électrique et d'autres équipements électriques de bâtiment
45315100-9;Installations électrotechniques
45315200-0;Travaux relatifs aux turbines
45315300-1;Installations d'alimentation électrique
45315400-2;Installations haute tension
45315500-3;Installations moyenne tension
45315600-4;Installations basse tension
45315700-5;Travaux d'installation de postes de sectionnement
45316000-5;Travaux d'installation de systèmes d'illumination et de signalisation
45316100-6;Installation d'appareils d'éclairage extérieur
45316110-9;Installation de matériel d'éclairage public
45316200-7;Installation de matériel de signalisation
45316210-0;Installation de matériel de contrôle du trafic routier
45316211-7;Installation de panneaux lumineux de signalisation
45316212-4;Installation de feux de circulation
45316213-1;Installation de balisage
45316220-3;Installation de matériel de signalisation aéroportuaire
45316230-6;Installation de matériel de signalisation portuaire
45317000-2;Autres travaux d'installation électrique
45317100-3;Travaux d'installation électrique de matériel de pompage
45317200-4;Travaux d'installation électrique de transformateurs
45317300-5;Travaux d'installation électrique d'appareils de distribution
45317400-6;Travaux d'installation électrique de matériel de filtration
45320000-6;Travaux d'isolation
45321000-3;Travaux d'isolation thermique
45323000-7;Travaux d'isolation acoustique
45324000-4;Travaux de pose de plaques de plâtre
45330000-9;Travaux de plomberie
45331000-6;Travaux d'installation de matériel de chauffage, de ventilation et de climatisation
45331100-7;Travaux d'installation de chauffage central
45331110-0;Travaux d'installation de chaudières
45331200-8;Travaux d'installation de matériel de ventilation et de climatisation
45331210-1;Travaux d'installation de ventilation
45331211-8;Travaux d'installation de ventilation extérieure
45331220-4;Travaux d'installation de matériel de climatisation
45331221-1;Travaux d'installation de matériel de climatisation partielle de l'air
45331230-7;Travaux d'installation de matériel de refroidissement
45331231-4;Travaux d'installation de matériel de réfrigération
45332000-3;Travaux de plomberie et de pose de conduits d'évacuation
45332200-5;Travaux d'installation de distribution d'eau
45332300-6;Travaux de pose de conduits d'évacuation
45332400-7;Travaux d'installation d'appareils sanitaires
45333000-0;Travaux d'installation du gaz
45333100-1;Travaux d'installation de régulateurs de gaz
45333200-2;Travaux d'installation de compteurs à gaz
45340000-2;Travaux d'installation de clôtures, de garde-corps et de dispositifs de sécurité
45341000-9;Pose de garde-corps
45342000-6;Pose de clôtures
45343000-3;Travaux d'installation de dispositifs de prévention contre les incendies
45343100-4;Travaux d'ignifugation
45343200-5;Travaux d'installation de dispositifs d'extinction d'incendie
45343210-8;Travaux d'installation de dispositifs d'extinction d'incendie au CO2
45343220-1;Travaux d'installation d'extincteurs
45343230-4;Travaux d'installation de systèmes de pulvérisation d'eau
45350000-5;Installations mécaniques
45351000-2;Travaux d'installation en construction mécanique
45400000-1;Travaux de parachèvement de bâtiment
45410000-4;Travaux de plâtrerie
45420000-7;Travaux de menuiserie et de charpenterie
45421000-4;Travaux de menuiserie
45421100-5;Pose de portes et de fenêtres et d'éléments accessoires
45421110-8;Pose d'encadrements de portes et de fenêtres
45421111-5;Pose d'encadrements de portes
45421112-2;Pose d'encadrements de fenêtres
45421120-1;Pose de seuils
45421130-4;Poses de portes et de fenêtres
45421131-1;Pose de portes
45421132-8;Pose de fenêtres
45421140-7;Pose de menuiseries métalliques, excepté portes et fenêtres
45421141-4;Travaux de cloisonnement
45421142-1;Installation de volets
45421143-8;Travaux d'installation de stores
45421144-5;Travaux d'installation de vélums
45421145-2;Travaux d'installation de volets roulants
45421146-9;Mise en place de plafonds suspendus
45421147-6;Installation de grilles
45421148-3;Installation de portails
45421150-0;Travaux d'installation de menuiseries non métalliques
45421151-7;Installation de cuisines équipées
45421152-4;Installation de cloisons
45421153-1;Installation de meubles encastrés
45421160-3;Ferrage
45422000-1;Travaux de charpenterie
45422100-2;Ouvrages en bois
45430000-0;Revêtement de sols et de murs
45431000-7;Carrelages
45431100-8;Carrelage de sols
45431200-9;Carrelage mural
45432000-4;Travaux de pose de revêtement de sols et de murs et pose de papiers peints
45432100-5;Travaux de pose de revêtements de sols
45432110-8;Travaux de pose de sols
45432111-5;Travaux de pose de revêtements de sols souples
45432112-2;Pose de pavage
45432113-9;Pose de parquets
45432114-6;Pavage en bois
45432120-1;Travaux d'installation de faux plancher
45432121-8;Planchers techniques pour salles informatiques
45432130-4;Travaux de revêtements de sols
45432200-6;Travaux de pose de revêtements muraux et de papiers peints
45432210-9;Travaux de revêtement mural
45432220-2;Travaux de pose de papier peint
45440000-3;Travaux de peinture et de vitrerie
45441000-0;Travaux de vitrerie
45442000-7;Travaux d'application de revêtements de protection
45442100-8;Travaux de peinture
45442110-1;Travaux de peinture de bâtiments
45442120-4;Travaux de peinture et de revêtement de protection de structures
45442121-1;Travaux de peinture de structures
45442180-2;Travaux de pose d'une nouvelle couche de peinture
45442190-5;Travaux de décapage
45442200-9;Travaux d'application de revêtements anticorrosion
45442210-2;Travaux de galvanisation
45442300-0;Travaux de protection des surfaces
45443000-4;Travaux de façade
45450000-6;Autres travaux de parachèvement de bâtiment
45451000-3;Travaux de décoration
45451100-4;Travaux d'ornementation
45451200-5;Travaux de lambrissage
45451300-6;Jardins intérieurs
45452000-0;Travaux de nettoyage extérieur de bâtiments
45452100-1;Nettoyage, au sable, des parties extérieures des bâtiments
45453000-7;Travaux de remise en état et de remise à neuf
45453100-8;Travaux de remise en état
45454000-4;Travaux de restructuration
45454100-5;Travaux de réfection
45500000-2;Location de machines et de matériel de construction et de génie civil avec opérateur
45510000-5;Location de grues avec opérateur
45520000-8;Location de matériel de terrassement avec opérateur
48000000-8;Logiciels et systèmes d'information
48100000-9;Logiciels pour l'industrie
48110000-2;Logiciels de points de vente (POS)
48120000-5;Logiciel de commande vol
48121000-2;Logiciels de contrôle du trafic aérien
48130000-8;Logiciels de soutien au sol et de test pour l'aviation
48131000-5;Logiciels de support au sol pour l'aviation
48132000-2;Logiciels de test pour l'aviation
48140000-1;Logiciels de contrôle du trafic ferroviaire
48150000-4;Logiciels de contrôle industriel
48151000-1;Système de contrôle informatique
48160000-7;Logiciels de bibliothèque
48161000-4;Système de gestion de bibliothèque
48170000-0;Logiciels de vérification de conformité
48180000-3;Logiciels médicaux
48190000-6;Logiciels pédagogiques
48200000-0;Logiciels de réseau d'internet et d'intranet
48210000-3;Logiciels de gestion de réseau
48211000-0;Logiciels d'interconnectivité de plates-formes
48212000-7;Logiciels de serveur mémoire à disques
48213000-4;Logiciels d'amélioration du système d'exploitation
48214000-1;Logiciels de système d'exploitation de réseau
48215000-8;Logiciels pour développeurs réseau
48216000-5;Logiciels d'émulation de terminaux pour connectivité au réseau
48217000-2;Logiciels de traitement des transactions
48217100-3;Logiciels de traitement des transactions d'ordinateur central
48217200-4;Logiciels de traitement des transaction de mini-ordinateur
48217300-5;Logiciels de traitement des transactions de micro-ordinateur
48218000-9;Logiciels de gestion des licences
48219000-6;Logiciels réseau divers
48219100-7;Logiciel de passerelle
48219200-8;Logiciels de serveur de disques compacts (CD)
48219300-9;Logiciels d'administration
48219400-0;Logiciels de serveur de transactions
48219500-1;Logiciels de commutation ou de routage
48219600-2;Logiciels de multiplexeur
48219700-3;Logiciels de serveur de communications
48219800-4;Logiciels de passerelle
48220000-6;Logiciels pour internet et intranet
48221000-3;Logiciels de navigation sur l'internet
48222000-0;Logiciels de serveur web
48223000-7;Logiciels de courrier électronique
48224000-4;Logiciels d'édition de pages web
48300000-1;Logiciels de création de documents, de dessin, de synthèse d'images, de planification et de productivité
48310000-4;Logiciels de création de documents
48311000-1;Logiciel de gestion des documents
48311100-2;Système de gestion de documents
48312000-8;Electronic publishing software package: logiciels de PAO
48313000-5;Logiciels de reconnaissance optique de caractères (OCR)
48313100-6;Système de lecture optique
48314000-2;Logiciels de reconnaissance vocale
48315000-9;Logiciels de microédition
48316000-6;Logiciels de présentation
48317000-3;Logiciels de traitement de texte
48318000-0;Logiciels de scanner
48319000-7;Vérificateurs orthographiques
